,uid,sub_uid,building,pl_base_iou,pl_seg_gt_iou,pl_seg_infer_iou,computer,t_laplacian,t_bilateral,t_mesh,t_fastga_total,t_fastga_integrate,t_fastga_peak,t_polylidar_planepoly,t_polylidar_filter,t_classify_pointcloud,t_polylabel,iou_diff
105,58,1,Building3_Example,0.8131638891412949,0.8555197060303843,0.8604010938225614,desktop,0.39579999999972415,0.5814000000015085,0.23449999999947124,4.309599999999136,1.0362999999991018,3.2733000000000345,1.3734999999996944,7.494600000001128,1.7735000000005385,0.11839999999985196,-0.042355816889089404
106,59,0,Building3_Example,0.8398210757628903,0.8923573515588845,0.9017625031210343,desktop,0.40259999999925355,0.5124999999992497,0.09190000000103282,3.7687000000001802,0.6789999999998741,3.089700000000306,0.6107999999986902,4.093999999998488,1.8066999999994948,0.2221000000002249,-0.05253627579599418
107,59,1,Building3_Example,0.8468939019474198,0.8902493274351716,0.8984534510472659,desktop,0.37410000000015486,0.48630000000038365,0.1162000000007879,3.6951000000016165,0.6623000000001156,3.032800000001501,0.6953999999996796,4.881400000000369,1.7783999999991806,0.21169999999948175,-0.04335542548775184
108,60,0,Building3_Example,0.7763751030361383,0.9239826762181278,0.9249899586651312,desktop,0.35390000000035116,0.4894999999986993,0.22810000000106356,4.171600000001163,1.0399000000003156,3.1317000000008477,0.7943000000008027,4.700400000000826,1.8356999999991075,0.09219999999920958,-0.14760757318198947
109,60,1,Building3_Example,0.784596554237285,0.9138994638894886,0.9138994638894886,desktop,0.3562999999999761,0.42459999999877596,0.20150000000107582,4.053400000000096,1.0174000000002792,3.0359999999998166,0.7682000000013289,4.845700000000619,1.7636000000003094,0.09879999999995448,-0.1293029096522036
110,61,0,Building3_Example,0.8411965726332618,0.9011156597907736,0.8903561072396557,desktop,0.35749999999978854,0.480299999999545,0.3286000000013445,4.423599999999084,1.2229000000001378,3.200699999998946,0.9043000000001911,3.2016000000005818,1.8311000000004185,0.11399999999994748,-0.05991908715751182
111,61,1,Building3_Example,0.8346419973916994,0.8896022902087656,0.8986278145239693,desktop,0.39709999999892887,0.5079999999999529,0.18060000000019727,4.255900000000423,1.0563999999995133,3.19950000000091,0.9250000000005087,3.488400000000169,1.7815999999992727,0.07210000000057448,-0.05496029281706616
112,62,0,Building3_Example,0.8051133275261588,0.9137881687533401,0.9137881719274306,desktop,0.3151999999992938,0.36819999999870845,0.11859999999863646,3.495699999998436,0.6033999999992545,2.8922999999991816,0.5691999999992703,3.0590999999997592,1.7382999999995263,0.09670000000028267,-0.1086748412271813
113,62,1,Building3_Example,0.799730714858083,0.9379763384046828,0.9380964022192051,desktop,0.4153000000002294,0.76110000000007,0.2696000000010912,4.061300000000045,0.6941999999998671,3.3671000000001783,0.7523000000002611,3.695600000000354,1.8758000000005381,0.12879999999881875,-0.13824562354659975
114,63,0,Building3_Example,0.8362482491619389,0.9210054647616541,0.9213299711617104,desktop,0.3729000000003424,0.4034999999991129,0.16520000000141977,4.195700000002134,1.0822000000008103,3.1135000000013235,0.8821999999995,3.4279999999995425,1.7662999999998874,0.06879999999931385,-0.08475721559971527
115,63,1,Building3_Example,0.798686682857514,0.9041584379742308,0.9184900012504816,desktop,0.3979000000011723,0.588000000000477,0.20950000000041769,4.375300000001303,1.1311000000002736,3.2442000000010296,0.9566999999996995,3.9620999999989692,1.7344000000001358,0.08009999999991635,-0.1054717551167168
116,64,0,Building3_Example,0.776698109486706,0.9078790190966679,0.9090177053407501,desktop,0.3564000000011447,0.40949999999995157,0.15750000000025466,4.02859999999805,1.009899999999675,3.0186999999983755,1.0305000000023767,5.258000000001317,1.7537999999994724,0.08309999999767115,-0.13118090960996187
117,64,1,Building3_Example,0.7873780428707098,0.9020725810086179,0.9088826317459704,desktop,0.35739999999861993,0.4724000000031481,0.21690000000162968,4.525099999998616,1.240899999999101,3.2841999999995153,1.0015999999986036,5.46369999999996,1.7862000000015144,0.07680000000220844,-0.11469453813790809
118,65,0,Building1_Example2,0.8578613168016356,0.9253529031265987,0.9304460407951379,desktop,0.3506999999984828,0.4351999999983036,0.16300000000057935,3.7143999999997845,1.0170999999985497,2.697300000001235,0.9327000000034502,1.9282999999994388,1.727299999998877,0.042000000000541604,-0.0674915863249631
119,65,1,Building1_Example2,0.8587358800345458,0.9240394013229437,0.9307865627778646,desktop,0.3795000000010873,0.723799999999386,0.4083000000001391,4.501199999999983,1.145300000001015,3.355899999998968,1.0672000000013782,1.9287999999981764,1.7479999999991946,0.043200000000354066,-0.06530352128839789
120,66,0,Building1_Example2,0.8392698768111638,0.8850153135249034,0.8819120902552353,desktop,0.34210000000101104,0.45899999999932106,0.1696000000031006,3.6123999999979617,0.8461999999980208,2.766199999999941,0.8295999999994308,3.8170999999991295,1.633699999999294,0.07390000000029318,-0.04574543671373954
121,66,1,Building1_Example2,0.8411123929137303,0.8800239492821245,0.8817793252480653,desktop,0.3415000000011048,0.43970000000115306,0.14990000000025816,3.5783000000009224,0.8511999999996078,2.7271000000013146,0.807599999998132,3.403500000001003,1.551399999996761,0.06839999999996849,-0.03891155636839416
122,67,0,Building1_Example2,0.8847820711593959,0.9534935566373639,0.9538465712598616,desktop,0.3700000000002035,0.5211000000002741,0.3486999999999796,4.130900000003379,1.1566000000016174,2.9743000000017616,0.9915999999989822,4.0599000000014485,1.7858999999980085,0.08079999999921483,-0.06871148547796802
123,67,1,Building1_Example2,0.8808519478366954,0.9508431800438502,0.9520289178862827,desktop,0.328299999999615,0.45520000000109917,0.2936000000026695,3.9410000000010825,1.0142000000001872,2.9268000000008954,0.9734000000030107,3.748999999999114,1.71579999999949,0.07749999999973056,-0.06999123220715475
124,68,0,Building1_Example2,0.8391165369854868,0.8744236717060413,0.8741057987153299,desktop,0.37250000000099703,0.4868000000008976,0.23809999999713227,4.5672999999979425,1.1019999999994923,3.46529999999845,1.2462999999982571,9.222199999999958,1.8138999999983696,0.0914999999999111,-0.03530713472055447
125,68,1,Building1_Example2,0.8412053446783189,0.8832164649473913,0.8831852799630064,desktop,0.36900000000272826,0.4077000000002329,0.22440000000045757,3.7263000000002933,1.0295000000013488,2.6967999999989445,1.1499999999990962,8.622899999998879,1.7585999999987223,0.0706000000008089,-0.04201112026907239
